date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:04:54	111711/111711	---MCZ	200	added ('OK')	text/html	etag:W/%2264dcb21e-1b45f%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/horizontal/index.html	C:/My%20Web%20Sites/a4p/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/horizontal/index.html	(from )
09:04:55	16356/16356	---MCZ	403	error ('Forbidden')	text/html	etag:W/%2261e91823-125b9%22	https://demos.adminmart.com/robots.txt		(from )
09:04:55	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%226400977d-d17%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/dist/libs/owl.carousel/dist/assets/owl.carousel.min.css	C:/My%20Web%20Sites/a4p/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/dist/libs/owl.carousel/dist/assets/owl.carousel.min.css	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/horizontal/index.html)
09:04:56	787074/787074	---MCZ	200	added ('OK')	text/css	etag:W/%2264dcb21e-c0282%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/dist/css/style.min.css	C:/My%20Web%20Sites/a4p/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/dist/css/style.min.css	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/horizontal/index.html)
09:04:56	138627/138627	---MCZ	200	added ('OK')	text/html	etag:W/%2264dcb21e-21d83%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/horizontal/app-chat.html	C:/My%20Web%20Sites/a4p/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/horizontal/app-chat.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/horizontal/index.html)
09:04:56	132337/132337	---MCZ	200	added ('OK')	text/html	etag:W/%2264dcb21e-204f1%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/horizontal/app-invoice.html	C:/My%20Web%20Sites/a4p/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/horizontal/app-invoice.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/horizontal/index.html)
09:04:57	136989/136989	---MCZ	200	added ('OK')	text/html	etag:W/%2264dcb21e-2171d%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/horizontal/app-contact2.html	C:/My%20Web%20Sites/a4p/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/horizontal/app-contact2.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/horizontal/index.html)
09:04:57	143700/143700	---MCZ	200	added ('OK')	text/html	etag:W/%2264dcb21e-23154%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/horizontal/app-email.html	C:/My%20Web%20Sites/a4p/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/horizontal/app-email.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/horizontal/index.html)
09:04:58	186709/186709	---MCZ	200	added ('OK')	text/html	etag:W/%2264dcb21e-2d955%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/horizontal/page-user-profile.html	C:/My%20Web%20Sites/a4p/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/horizontal/page-user-profile.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/horizontal/index.html)
09:04:58	91227/91227	---MCZ	200	added ('OK')	text/html	etag:W/%2264dcb21e-1645b%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/horizontal/app-calendar.html	C:/My%20Web%20Sites/a4p/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/horizontal/app-calendar.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/horizontal/index.html)
